abandon oneself to,"na. 恣意
"
abide by,"na. 坚持；服从
"
be about to do sth., 即将做某事
keep abreast of,"na. 跟着(时代)跑
"
be absorbed in,"na. 全神贯注在…；热衷于
"
be abundant in,丰富的，富裕的
access to, 接近；进入；通向…的入口
by accident,"na. 偶然 (opp. on purpose)
"
of one's own accord,"na. 自愿地
"
with one accord,"na. 一致地
"
in accordance with,"na. 照；与…一致
"
on one's own account,"na. 独自地；独立地；凭自己力量；主动地
"
take ... into account,"na. 考虑
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
on account of,"na. 因为
"
on no account,"na. … on any account 决不
"
accuse sb. of sth.,"un. 控告
"
be accustomed to,"na. 惯于(苦干,早起)
"
be acquainted with,"na. 了解；与…相识
"
cut across,"na. 对直穿过；同“cut”
"
act on,"na. “Act upon”的变体
"
adapt oneself to,"na. 适应(环境)
"
adapt sth. for,"un. 借鉴；适用于
"
in addition,"na. 加之
"
in addition to,"na. 加之
"
adhere to,"v. 坚持；依附
"
adjust ... to,"v. 适应
"
in advance,"na. 预先；在先头
"
have an advantage over sb.,"na. 胜过
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take full advantage of,"v. 充份利用
"
go after,"na. 追求
"
agree with,"na. 适合；赞同；与…一致
"
agree with sb.,"na. 适合；赞同；与…一致
"
in agreement with,"na. 符合…照…
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
be up in the air,"na. 悬而未决；尚未决定
"
above all,"na. 最主要的；最重要的是
"
after all,"na. 毕竟；终究；最后
"
all at once,"na. 忽然；突然
"
first of all,"na. 第一
"
all but,"na. 几乎跟…一样
"
make allowance for,"na. 体谅；留有余地；斟酌；扣除
"
make allowances for,"un. 考虑到
"
angle for,"un. 博取
"
amount to,"v. 合计
"
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
answer to,"na. 回答；符合
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
apologize to sb. for sth., 因某事向某人道歉
appeal to sb. for sth., 求助于
apply for,"v. 寻求；申请
"
apply to,"v. 应用于
"
approve of,"na. 赞成
"
arise from,"v. 从…而得的
"
as for,"na. 至于
"
as if,"na. 彷佛；活像
"
as it is,"na. “As it stands”的变体
"
as it were,"na. 如同；可以说是；好像
"
assert oneself,"na. 坚持自己的权利；表现自己
"
assure sb. of sth.,"un. 查明
"
attach ... to ...,"v. 连接在…上；归于
"
attend to,"na. 照料(工作)
"
pay attention to,"na. 注意
"
attribute ... to ...,"na. 认为(成功)是(努力)的结果
"
on the average,"na. 平均；一般说来
"
be aware of,"na. 知道
"
right away,"na. 立刻
"
back and forth,"na. 来回地
"
at one's back, 支持某人
turn one's back on,"na. 不理睬；丢弃；逃出
"
back off,"na. 退避；后退
"
badly off,"adj. 穷困的；拮据的；境况不佳的
"
be based on,"v. 以…为基础
"
be based upon, 基于
on the basis of,"na. 以…为基础
"
on behalf of,"na. 替；为…的利益
"
be behind bars,"vi.在监狱中,在牢房里"
come into being,"na. 发生
"
believe in,"v. 相信
"
benefit from,"v. 从…得到好处
"
at best,"na. 充其量也不过
"
be better off,"na. 情况[处境]更好；更加富有；处境较好
"
get the better of,"na. 胜过
"
in between,"na. 在…期间；在中间；每隔…
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
bit by bit,"na. 一点一点地；渐次
"
blame sb. for sth., 因……责备；责怪；因…怪罪
turn a blind eye,"un. 掌上明珠；轮流；睁一只眼；不闻不问
"
turn a blind eye to sth.,"na. 对…熟视无睹；假装不见
"
on board,"na. 在船上；〔美国〕在车上；〈口〉【棒】出垒
"
boast of,"na. 夸耀
"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
"
know no bounds,"na. 无限制
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
hold one's breath,"na. 屏息
"
out of breath,"na. 大喘气
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring forward,"na. 提出(计划等)；提示；提前；公开
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
in bulk,"na. 大批；不加包装
"
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burn out,"na. 烧起来；烧光；烧尽；烧断
"
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
burst into,"na. 闯进；突然…起来
"
but for,"na. 要不是；除…而外
"
by and large,"na. 总的说来
"
get down to sth.,"v. 认真对待
"
get down to doing sth.,无
get down to business,"na. 认真干起来
"
a piece of cake,"na. 轻而易举的事
"
call for,"na. 呼吁；主张；需要；接(某人)
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call upon,"na. “call on”的变体；同“call on ”
"
be capable of,"v. 能够承担
"
care for,"v. 照顾；关心；喜欢
"
take care of,"na. 照看；处理；清除
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
a case in point,"na. 范例
"
in case of,"na. 要是
"
in the case of,"na. 论到
"
in any case,"na. 无论如何；横竖
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
carry through,"na. 完成(计划等)；坚持到底
"
be cautious of,"na. 留意
"
check in,"v. 〈美〉报到；(旅馆)登记
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
keep sb. in check,"na. 防止；制止
"
keep sth. in check,"na. 防止；制止
"
hold sb. in check,na. 阻止；制止
hold sth. in check,na. 阻止；制止
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
choke up,"na. 使闷死；枯死；〔口语〕激动得说不出话来；同“choke”
"
in chorus,"na. 合唱；异口同声地
"
on condition that,"na. 在…的条件下
"
