accuse of,"un. 控告
"
act on,"na. “Act upon”的变体
"
adapt to,"na. 使(自己行动)配合(同伴)
"
add to,"na. 增加
"
adhere to,"v. 坚持；依附
"
aim for,"un. 力求；以…为最终目的
"
apply to,"v. 应用于
"
approve of,"na. 赞成
"
arise from,"v. 从…而得的
"
a bit of,"na. 一点儿
"
above all,"na. 最主要的；最重要的是
"
access to, 接近；进入；通向…的入口
accessible to, 易接近的；可归属的；可得到的可归因的
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
accountable to, 对…负责；向……负责；政府倾向
agreeable to,欣然同意的；适合的，适宜的；遵照，顺从，依从；赞同(提议等)
along with,"na. 与…一道；以外
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
as a means of, 以资；作为…的方法；作为…的工具
as a result,"adv. 结果
"
as a result of,"na. (作)为…的结果
"
as far as,"na. 远到；就；尽；至于
"
as for,"na. 至于
"
as to,"na. 〈正式〉至于；说到
"
as if,"na. 彷佛；活像
"
as usual,"adv. 照常；照例
"
as well as,"na. 和…一样；…不用说
"
at all,"na. 全然；究竟
"
at all costs,"na. 无论如何
"
at large,"na. 随便；拉杂地
"
at length,"na. 最后；充分地
"
at odds with,"adj. 相抗争于
"
at risk,"un. 担风险
"
at stake,"na. 被赌着；在危险中；利害[生死]攸关
"
at the end of,"na. 在…末端；在…的结尾
"
at times,"na. 时时
"
abide by,"na. 坚持；服从
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
act for,"na. 代理
"
adjust to,"v. 适应
"
agree on,"na. 对…意见一致
"
agree to,"na. 承认(提议；条件)
"
agree with,"na. 适合；赞同；与…一致
"
aim at,"v. 目的在于
"
allow ... to, 允许；允许某人做某事；容许
appeal to,"v. 求助于；引起N
"
apply for,"v. 寻求；申请
"
argue for,"na. 为…作争辩
"
arm with,"v. 以…武装着
"
arrive in,"v. 到达；达到
"
associate with,"v. 与…联系
"
attach importance to,"na. 重视；把重点放在
"
attach to,"v. 连接在…上；归于
"
attempt to,"un. 企图
"
attribute to,"na. 认为(成功)是(努力)的结果
"
avail oneself of,"na. 利用时机
"
agreement on,"un. 的协议
"
alien to,"adj. 与…相反
"
alien from,"adj. 与…不同
"
all in all,"na. 全部；完全；第一
"
all the same,"na. 依然；“all/just the same”的变体
"
a majority of, 大部分；大多数；大多数的
a matter of,"na. 大约；…左右；…的问题
"
analogous to,"un. 类似于
"
and so forth,"na. 等等；云云；“and so on/forth”的变体
"
and so on,"na. “And so forth”的变体
"
and yet,"na. 但
"
a part of,"un. 一部分
"
a period of, 阵子
a piece of cake,"na. 轻而易举的事
"
as a whole,"na. (作为一个)整体
"
as often as,"adv. 每次；每当
"
as often as not,"na. “more often than not”的变体；往往
"
as opposed to,"adv. 相反于
"
a sort of,"na. 一种；可以说是…的东西
"
a spell of,无
as regards,"na. 至于；提到
"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
as long as,"conj. 只要
"
so long as,"na. 只要；“as/so long as”的变体
"
as yet,"na. 至今还
"
at a glance,"na. 一看就；初看
"
at all events,"na. 无论怎样；总之
"
at all times,"na. 不论什么时候；老是；时时
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at an end,"adv. 完毕；结束
"
at any price,"na. 不惜任何代价
"
at any rate,"na. 无论如何；至少；总而言之
"
at a profit,"na. 赚钱
"
at a stretch,"na. 一口气
"
at a time,"na. 一次(多少)；同时；曾经；连续
"
at fault,"adv. 困惑；不知所措
"
at first glance,"adv. 初看起来
"
at hand,"na. 在手边；即将到来
"
at its best, 处在最好状态；处于全盛时期；在最佳的状况下
at least,"na. 至少
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
a train of,"un. 瞄准；(一)串；连续不绝；一列
"
at random,"na. 碰运气地；无目标地
"
at sb.'s disposal,无
at sea,"na. 在海上；不知所措
"
at short notice,"na. 在短时间内；临时；一收到通知就…
"
at best,"na. 充其量也不过
"
at the best,"na. 充其量也不过
"
at the bottom,"na. 实际上；本质上
"
at the cost of,"na. 以…为牺牲
"
at the end of the day, 在一天的末了; 最终，到头来; 归根结底
at the expense of,"na. 以…为代价；由…出钱；牺牲…
"
at the height of, 在……顶点；在的高峰；在…最鼎盛时期
at the instant of,无
at the latest,"na. “at latest”的变体
"
at the longest,"na. 至多
"
at the mercy of,"na. 完全受…支配
"
at the moment,"na. “for the moment”的变体
"
at the outset,"na. 在开头时
"
at the outside,"na. 至多
"
at the rate of,"na. 按…的比例；以…的速度
"
at the risk of,"na. 冒着…的危险
"
at the top, 在顶端；在顶部；在顶部这个范围之内
at the very least,"na. 一点
"
at worst,"adv. 无论怎样坏
"
at the worst,"un. 无论怎样坏；在最坏的情况下
"
at will,"na. 任意；随意
"
a variety of,"det. 种种；形形色色
"
a flash in the pan,"na. 〈口〉昙花一现(的人或物)
"
agreed account,无
akin to,"adj. 与…类似
"
an end in itself, 目标本身；事情本身很重要；自为目的
appropriate to,"adj. 适合
"
a stab in the back,"na. 伤人的暗箭
"
at a moment's notice,"na. 一经通知；随时；马上
"
base on,"v. 根据
"
base upon,使建立在…基础上
benefit from,"v. 从…得到好处
"
blame on, 把责任推给；责怪；归罪于
bring about,"na. 造成；带来；【航】(使船)回转
"
be applicable to,"v. 适用于；能应用
"
be biased against,"na. 对…抱有偏见
"
be busy with,"v. 忙于
"
because of,"na. 因
"
be cautious about,无
be concerned with,"na. 干与；关怀
"
be confronted with,"na. 碰到(困难)
"
be conscious of,"na. 意识到
"
be considered as,"v. 被认为是
"
be dependent on,"na. 依靠
"
be deprived of,"na. 失却
"
be dominant over,无
be eager to,"v. 渴望
"
beef up, <口>加强，补充（人数、兵力）等; 使更大（更好、更有意思等）
be entitled to, 有权；有资格；有权做
be exposed to, 暴露于；面临；暴露在
be generous to,无
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be inclined to,"v. 倾向于；想要
"
