find out,"na. 查出；发现；看清…的面目；识破
"
a large sum of,"na. 大量的
"
in line with,"na. 和…成一直线；〔美国〕和…一致
"
put aside,"na. “set aside”的变体
"
read off,"na. 读(出)；数
"
plenty of,"na. 很多的
"
eat out,"v. 出去吃；在外面吃饭
"
follow suit,"na. 【牌】跟出同花色的牌；学样
"
as long as,"conj. 只要
"
up in arms,"na. 武装反抗；武装起义；采取敌对态度
"
far more than, 远远多于，远不止于；何止；远远是
remind ... of,"v. 提醒
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
take pride in,"na. 以…自豪；对…感到满意
"
be contemptuous of,"na. 瞧不起
"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
"
resort to,"na. 使用(武力)
"
a little bit,"n. 一点
"
take place,"na. 发生；举行
"
be of importance,无
be of ... importance,无
be competent to,无
clamp down,"v. 严厉打击；强制执行；严禁；施压
"
in one's view, 依某人看来
turn to,"v. 向(某人)求助；求助于
"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
draw a conclusion from, 从……得出结论；从……中得出结论
keep pace with,"na. 赶上；保持同步；随着…而增长
"
the rest of,"adj. 其余
"
on the board, 董事会；在董事会；在那块木板上
encourage sb. to do sth., 鼓励…做；鼓励做某事
in other words,"na. 换句话说
"
to put it another way,"na. 换言之
"
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
"
force sb. to do sth.,"v. 强人所难
"
get the nod, 被选中；得到许可；被选择
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
afford to,（有条件）做；能承担；买得起某物；支付的起
a ban on,无
in response to,"na. 应…而
"
make up,"na. 弥补；起草；定；签订
"
take the lead,"v. 率先
"
too ... to ..., 太……而不能；太……以致不能；用法
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
result in,"na. 终于(失败)
"
as it happens,"na. 碰巧
"
in trouble,"na. 为难；被捕；未婚怀孕
"
lay out,"n. 布局；设计；规划；安排
"
keep an eye out for,"na. 记住
"
bring about,"na. 造成；带来；【航】(使船)回转
"
in question,"adj. 在谈论中
"
be under way, 在进行中；正在进行；正在开展
in the first place,"na. 首先；第一
"
get on well with, 与……相处融洽；和……相处得好；与……相处得好
by accident,"na. 偶然 (opp. on purpose)
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
wear off,"na. (精力)衰退；(衣服等)渐破
"
