abandon oneself to,"na. 恣意
"
abide by,"na. 坚持；服从
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
accuse sb. of sth.,"un. 控告
"
act on,"na. “Act upon”的变体
"
act out,"v. 演出
"
act up,"na. 捣蛋；耍脾气；胡闹；出毛病
"
add in,"na. 算入
"
add on,"un. 加码
"
add up,"na. 合计；符合预期的数目
"
add up to,"na. 总计共达；〔口语〕总之就是
"
allow for,"v. 考虑到
"
allow of,"v. 容许
"
amount to,"v. 合计
"
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
apply for,"v. 寻求；申请
"
associate ... with,"v. 与…联系
"
avail oneself of,"na. 利用时机
"
back away,"v. 后退；退让；退缩
"
back down,"na. 打退堂鼓；放弃权利等
"
back off,"na. 退避；后退
"
back out,"na. 打退堂鼓；食言；退出；后退
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bank on,"na. 信赖
"
barge in,"na. 闯入；〔美俚〕强行加入
"
be about to,"na. 准备
"
be addicted to,"na. 嗜好
"
be aware of,"na. 知道
"
be bound up in,"na. 热中于
"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
"
be composed of ...,"na. 由…组成
"
be fed up with,"na. 吃…吃得过饱；厌倦
"
be friends with,"na. 跟…要好
"
be in debt,"亏空,亏空额"
be in for,"na. 遭受；参加(考试,竞争)
"
be mad about,"na. 急切地想；迷于
"
be made up of, 由…构成；组成；由…组成
be named after, 以……命名；以…来命名；以…的名字命名
be to blame,"na. 该负责
"
be used to doing sth.,无
get used to doing sth.,无
be in awe of,对…望而生畏 对…感到害怕
stand in awe of,"na. 怕
"
bear down on,"na. 冲向；强调；压迫
"
bear on,"na. 瞄准；压迫；倚恃；与…有关系
"
bear upon,"na. 瞄准；压迫；靠；与…有关系
"
bear out,"na. 证明
"
bear up,"na. 支持；咬紧牙关坚持；【航】驶向下风
"
bear with,"v. 忍受；担待；逆来顺受
"
bear in mind,"na. 记住；铭记不忘；注意
"
keep in mind,"na. 记在心里；记住；注意
"
beat down,"na. 打倒；镇压；〈口〉还(价)；使失望
"
beat up,"na. 搅(蛋)；虐待；冷不防地；打鼓召集
"
become of,"na. (人或事物的)情况
"
beg off,"na. 辞退；谢绝；请求原谅(某人)
"
believe in,"v. 相信
"
block in,"na. 画略图；设计；堵塞
"
block off,"v. 挡住
"
block up,"na. 堵塞；停用；同“block”
"
blot out,"na. 涂去(文字)；遮掉(风景等)；杀掉；毁掉
"
blow up,"v. 炸掉；爆炸；充气；放大
"
boil down to,"na. (被)归结起来是…；(审判等到最后)表明
"
boil over,"na. 沸溢；发怒
"
book in,"v. 预定旅馆房间
"
border on,"na. 同“border”
"
bounce back,"na. 很快挽回(颓势,败局)
"
box in,"na. =box up.；【赛马】阻拦(他马)
"
branch out,"na. (树)发枝；(话等)横生枝节；(事业等)扩大规模
"
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break down,"v. 分解；抛锚；分析；划分
"
break even,"na. 扯平；不赔不赚；(球赛)不分胜负
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break one's heart, 为之心碎
break the ice,"na. 带个头；使气氛活跃；起头；打破沉闷
"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
brim over with,"na. (精神等)饱满；(才华等)横溢；漫出
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring around,"na. 说服；〈口〉使恢复知觉[等]；〈口〉把(某人)作为客人带来
"
bring round,"na. 说服；〈口〉使恢复知觉[等]；〈口〉把(某人)作为客人带来
"
bring back,"na. 送回；使恢复；使回忆起
"
bring down,"na. 降低；击落；削减；使落下[跌落]
"
bring forth,"na. 提出；生
"
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring ... home to,"v. 证明
"
bring into play,"na. (充分)利用；使活动
"
bring off,"na. 办完；(从失事船只上)救出
"
bring on,"na. “bring forward”的变体
"
bring out,"na. 公布；说出；出版；上演
"
bring the house down,"na. 博得满堂喝彩
"
bring through,"na. 帮助(某人)脱离险境[克服困难,突破障碍]；救活
"
bring to ...,"na. 使恢复知觉；【航】使停船
"
bring to justice, 使归案受审；绳之以法；移送法办
bring to life,"na. 使苏醒
"
bring to light,"na. 暴露；揭露
"
bring up,"na. 抚养；教导；教育；在…长大
"
bring up the rear,"na. 殿后；走在后头；压队
"
bring into effect,"na. 使生效；使起作用；实行
"
carry into effect,"na. 使生效；使起作用；实行
"
put into effect,"na. 实行
"
bring into operation,"v. 将…投入生产
"
put into operation,"na. 实施
"
bristle with,"v. 显出；密布
"
brush aside,"na. 刷去；扫除；无视
"
brush off,"na. 刷去；打发走；摒弃；逃掉
"
brush up,"na. 重新学习；刷光；把…打扮整洁；提高(技巧等)
"
buck up,"na. 振作精神；鼓励；打起精神来!
"
budget for, 编预算；的预算；为…作预算
build in,"na. 加入；埋入；围以(房屋,围墙等)
"
build into,"v. 建入
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
"
bundle up,"na. 同“bundle”
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burn out,"na. 烧起来；烧光；烧尽；烧断
"
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
burst into,"na. 闯进；突然…起来
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
buy into,"na. (出钱)做股东[会员]
"
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
"
