10% discount,无
50% off,无
a balance of nature,无
a beach person,无
a bunch of,"det. 一束
"
a chunk of,无
a complicated question,无
a couple of,"det. 一对
"
a flash of,无
a foot of,无
a group of,"det. 一群
"
a heavy line,无
a heavy schedule,无
a herd of,"det. 一群
"
herds of,"成群,大量(指人时含蔑视意义)"
a lack of,"det. 缺乏
"
a matter of time, 时间问题；花落花开；迟早的事
a money order,无
a pay raise,加薪
a phone call away,无
a portion of,"na. 一部分地
"
a ... portion of,"na. 一部分地
"
a range of,"det. 一大片；一排
"
a series of,"na. 一系列；许多
"
a train schedule,无
a flight schedule,无
a vertical line,无
a waste of,"det. 浪费
"
a while back, 不久以前；前阵子；不久前
abnormal behavior,"n. 〔社〕变态行为
"
above all,"na. 最主要的；最重要的是
"
absolute advantages, 绝对优势理论
academic advisor, 学业导师；学业顾问；学术顾问
academic calendar, 校历；大学年历；校历表
academic schedule,无
access to, 接近；进入；通向…的入口
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
acquaint ... with,"na. 把(事实)告知(某人)
"
adapt to,"na. 使(自己行动)配合(同伴)
"
adapt ... for,"un. 借鉴；适用于
"
advance in,"v. 在…方面发展；在…上前进
"
advanced degree, 高等学位；高学历；进阶学位
adverse aspect,无
Advertising Topic,无
afford to,（有条件）做；能承担；买得起某物；支付的起
afford to do sth., 负担得起做某事；付得起；有能力
after all,"na. 毕竟；终究；最后
"
ahead of schedule,"na. 比预定时间早
"
air currents,【流体力学】(空)气流；风
air pressure,"na. 风压；气压
"
all along,"na. 一直都；一路；始终；一贯
"
all the way,"na. 路上一直；老远；〈美〉(从…到…)逐一
"
all year around,"adv.整年,全年"
along with,"na. 与…一道；以外
"
alternative fuel, 代用燃料; 人造液体燃料; 合成马达燃料; 石油燃料代用品
alternative theory,无
an answer to,"prep....的答案,对...回答"
an epidemic of,无
an extra day's time,无
analyze the data,无
ancient city,"un. 古城
"
ancient times,"na. 古代
"
animated cartoon,"n. 卡通影片
"
anything but,"na. 决不是；除…外什么都
"
appeal to,"v. 求助于；引起N
"
application form,"na. “application blank”的变体
"
apply for,"v. 寻求；申请
"
apply to,"v. 应用于
"
apply to customs,报关
aquatic environment,"un. 水生环境；水环境；水文环境
"
arbitrary character,无
arbitrary decision,"[法] 武断的决定, 强断, 包办"
arms trade,"un. 军火交易
"
army of volunteers,无
arouse ... from,v. 唤醒
arouse one's anxiety,无
arouse one's curiosity,无
arouse one's interest,无
art exhibit,无
artesian spring,自流泉
artesian well,"n. 自流井
"
artificial bone tissue,无
artificial light,"un. 人造光；人工照明
"
artificial organs,"un. 人工器官
"
artificial satellite,"na. 人造卫星
"
artistic works, 艺术作品；美术作品；文章
as a matter of fact,"na. 事实上；事实是
"
as a result,"adv. 结果
"
as far as I am concerned, 就我而言；就个人而言；据我所知
as far as I know,"na. (= so far as I know)就我所知
"
as good as,"na. 见 good 条
"
as hard as nails,"na. “hard as nails”的变体
"
as tough as nails,无
ask for permission,"na. 请求许可
"
assign to,"un. 指定(时间、地点)；提出(理由等)；分配；分给…用
"
assigned books,无
associate professor,"n. （美国和加拿大的）副教授（职位比教授低一级）
"
associate with,"v. 与…联系
"
assume obligation, 承担义务
asteroid explosion,无
astronomical object,无
astronomical observatory,"na. 天文台
"
astronomy class,无
astronomy society,无
at a discount,"na. 打折扣；(货物等的)跌价；无销路；不受欢迎
"
at any rate,"na. 无论如何；至少；总而言之
"
at home with, 对……很熟悉；对……感到很熟悉；擅长
at least,"na. 至少
"
at regular intervals,"na. 每隔一定时间[距离]
"
at sb.'s service,无
at the age of,"na. 在…岁时
"
at the end of,"na. 在…末端；在…的结尾
"
at the head of,"na. 以…为首
"
at the rate of,"na. 按…的比例；以…的速度
"
at the request of,"un. 应…的要求；根据…的请求；应…之请
"
at this rate,"na. 这种样子
"
at work,"na. 做着；在工作；起着作用；运转中
"
atom of,无
attend the conference,无
attend the tournament,无
attribute to,"na. 认为(成功)是(努力)的结果
"
await trial, 候审
award ceremony, 颁奖典礼；颁奖仪式；职业赛颁奖仪式
back on one's feet,重新振作起来
back out,"na. 打退堂鼓；食言；退出；后退
"
back of,"na. 在…的后部
"
bacteria infection,无
baggage counter,无
balance one's budget,无
balance oneself,"na. 保持身体平衡
"
barter with sb. for sth.,无
base on,"v. 根据
"
base upon,使建立在…基础上
basic element,"un. 标准文件
"
basic rights, 基本权利；基本的权利
be absent from,"na. 不在(家)；缺(工)
"
be abundant in,丰富的，富裕的
be adequate for,适合
be allergic to, 对……过敏；过敏的；花粉过敏
be attracted to, 被……所吸引；被吸引到；对……有吸引力的
be authorized to,无
be available to,"v. 可以用来
"
be away from, 远离；离开；从……离开
be composed of ...,"na. 由…组成
"
be concerned about,"na. 关心；挂念
"
be cut out for,"un. 高…一等；胜任
"
be dedicated to sth.,"v. 专注于
"
be dedicated to doing sth.,无
be depleted of,无
be different from,"na. 和…不同
"
be distracted by, 被…分心；对······心烦意乱
be due, 到期；到期的；出世
be effective from,无
be eligible for, 有资格；对•••有资格；合格的
be eligible to do sth.,无
be equivalent to,"na. 等于；相当于
"
be expected to, 被期待做某事; 有望做某事; 期许
be extracted from,无
be familiar to,"v. 熟悉
"
be familiar with,"na. 精通；同…相好
"
be free from,"v. 免除
"
be full of remorse,无
be filled with remorse,无
be head and shoulders above,无
be identical to, 与…相同；一致；同……一模一样
be identical with,"v. 与…相同
"
be in blossom, 开花
be in cooperation with,无
be in the dark, 蒙在鼓里；被蒙在鼓里；毫不知情
be kidding, 开玩笑；在开玩笑
be made of,"na. …制的
"
be notorious for,因…而声名狼藉
be objective about,无
be off,"na. 去
"
be on medication,无
be on medication for sth.,无
be out of condition,身体很好[不适]
be out of focus,"vi.在焦点外,焦点没有对准"
be prepared for,"na. 准备着
"
