a big potato,无
a box office smash,无
a bunch of,"det. 一束
"
a couple of,"det. 一对
"
a cushion of air,无
a heavy demand for,无
a host of,"det. 很多
"
a matter of time, 时间问题；花落花开；迟早的事
a multitude of,"na. 许多
"
a piece of cake,"na. 轻而易举的事
"
a range of,"det. 一大片；一排
"
a series of,"na. 一系列；许多
"
a set of,"det. 一套；一副
"
a shortage of,无
a slice of, 一片；一薄片；一块
a sort of,"na. 一种；可以说是…的东西
"
a stone's throw away from,无
a variety of,"det. 种种；形形色色
"
a vicious circle,"na. 恶性循环；【逻】循环论证
"
a wealth of, 大量的；丰富的；很多的
academic atmosphere, 学习氛围；学风；学业风气
academic circle, 学术界；学术圈；学院派系
access to, 接近；进入；通向…的入口
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
adapt to,"na. 使(自己行动)配合(同伴)
"
add up to,"na. 总计共达；〔口语〕总之就是
"
add ... to,"na. 增加
"
adept in,能手，老手；熟练的，拿手的；擅长于，精于，善于
adjacent to,"prep. 接近
"
adjust to,"v. 适应
"
adult education,"n. 成人教育
"
advertising campaign, 广告活动；广告宣传活动；广告运动
advice on,无
aerial photograph,"un. 航空摄影照片；航空照片；航摄像片
"
afford to,（有条件）做；能承担；买得起某物；支付的起
agree on,"na. 对…意见一致
"
agricultural workforce,无
ahead of time,"na. 比原定提前地
"
aim to,"un. 目的在于
"
air conditioning,"n. 空气调节系统
"
all of a sudden,"na. “all at once”的变体；突然
"
all set,"na. 准备妥当；准备就绪
"
all walks of life,"un. 〔外交〕各界；各行各业
"
all-talking film,无
alter the course of one's life,无
alternative fuel, 代用燃料; 人造液体燃料; 合成马达燃料; 石油燃料代用品
alternative work,无
annual fee, 年费；续展费；收取年费
annual interest rate,"un. 年利率
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
appeal to,"v. 求助于；引起N
"
appear to,"un. 看来像是
"
application form,"na. “application blank”的变体
"
apply for,"v. 寻求；申请
"
approach to,"v. 接近；近似于
"
argue over,"v. 争论
"
arise from,"v. 从…而得的
"
art exhibition,"n. 画展
"
art gallery,"n. 美术馆；艺术展览馆
"
as a result,"adv. 结果
"
as a result of,"na. (作)为…的结果
"
as a whole,"na. (作为一个)整体
"
as far as,"na. 远到；就；尽；至于
"
as far as I know,"na. (= so far as I know)就我所知
"
as far as sth. is concerned,就 ... 而言
as I see it,"na. 据我看；我以为
"
as long as,"conj. 只要
"
as much as,"un. 也这样(想,认为)；不亚于
"
as though,"na. 好像；见 well 条
"
as usual,"adv. 照常；照例
"
as well as,"na. 和…一样；…不用说
"
ask for trouble,"na. 自找苦吃
"
assembly line,"na. 装配线
"
assist with, 在……上给予帮助；在…给予帮助；用物件帮助
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at a significant cost,无
at all times,"na. 不论什么时候；老是；时时
"
at any time,"adv. 随时
"
at least,"na. 至少
"
at one time,"na. 同时；曾经
"
at one's service,"乐意帮助,听.使唤"
at risk,"un. 担风险
"
at some stage,在某一阶段
at the end of,"na. 在…末端；在…的结尾
"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
"
at the moment,"na. “for the moment”的变体
"
at the outset,"na. 在开头时
"
at the top of,"na. 在…最高地位；用最高[最大]的(速度,声音等)
"
at this stage,"un. 活动；在这个阶段；事到如今
"
at work,"na. 做着；在工作；起着作用；运转中
"
attach ... to,"v. 连接在…上；归于
"
attempt to,"un. 企图
"
attitude towards,"un. 对…态度
"
average salary, 平均薪资；平均工资；毕业后的薪资统计
baby cot,无
baggage reclaim,"n. （机场）行李提取处
"
bail out,"na. 保释(被告)；委托(货物)；(从飞机上)跳伞
"
bank statement,"n. 银行结单（某时期内存户存取款项的清单）
"
bank transfer,"un. 银行间转帐；银行转帐
"
bar graph,"abbr. (=bar chart)
"
bare skin,无
be absent from,"na. 不在(家)；缺(工)
"
be accompanied by,"na. 有(某人)陪伴；伴有
"
be addicted to,"na. 嗜好
"
be against,"na. 反对
"
be alienated from,与…疏远
be allergic to, 对……过敏；过敏的；花粉过敏
be around the corner, 即将来临
be associated with,"v. 与…联系
"
be attached to,"na. 爱上；隶属于
"
be attributed to,"na. 被认为是…所为
"
be based on,"v. 以…为基础
"
be beneficial to,"v. 有益于
"
be best with,无
be blamed for,"na. …为(某事)受责备
"
be bound for,"na. 船开往…；以…为目的地的
"
be bound to,"v. 一定要；决心
"
be broken beyond repair,无
be close to,"na. 接近；不离
"
be closely linked to,无
be composed of,"na. 由…组成
"
be concerned about,"na. 关心；挂念
"
be concerned with,"na. 干与；关怀
"
be confronted with,"na. 碰到(困难)
"
be confused about, 困惑於；对······感到困惑
be covered with,"na. 盖满
"
be crazy about,"v. 迷上
"
be dependent on,"na. 依靠
"
be dependent upon,依靠(他人供给吃、住、钱等)，依赖；随…而定；依…而转移
be dotted with, 点缀着；点缀著
be eligible for, 有资格；对•••有资格；合格的
be embossed with,无
be entitled to, 有权；有资格；有权做
be entitled to do,无
be equipped with,"na. 安置着；身上穿着
"
be expelled from,无
be familiar with,"na. 精通；同…相好
"
be fascinated by, 被…所吸引；迷醉；对…着迷
be flexible in,无
be fond of,"v. 爱好
"
be fussy about,无
be going extinct,无
be good with, 擅长；善于和……相处；和……相处的很好
be honest with,"na. 对…说老实话
"
be ideal for,无
be impatient with, 对…不耐烦
be in charge of, 负责；主管；管理
be in good form,无
be in good shape, 身体好；健康状况良好；状态良好
be in good health,"na. 健康
"
be incapacitated with,无
be incompatible with, 与---不相容；与…不一致；与……势不两立
be innovative with,无
be keen on,"na. 喜爱
"
be likely to do,无
be located on, 位于；坐落在；位於
be mad about,"na. 急切地想；迷于
"
be mad at,"na. 对…发怒
"
be made into, 被制成；被做成；把……制成
be made of,"na. …制的
"
be motivated to do,无
be nervous of, 害怕；对…紧张不安；担心
be on speaking terms, 只是泛泛之交；相关词组；关系好
be on the safe side, 万无一失；凡事小心为妙；为求保险，为了安全起见
be open to,"na. 易受；易接受；对…开着门
"
be opposed to,"v. 反对；与…相对
"
be packed with,"挤满..., 装满..., 塞满..."
be parallel to,"v. 与…平行
"
be popular among,无
be prepared to do,"na. 准备着
"
be prone to,"v. 易于…的
"
be proud of,"na. 以…自豪
"
be relevant to,"v. 有关
"
be removed from, 移除；从……剔除；从…移除
be replaced with,无
be responsible for,"v. 负责；担负
"
be satisfied with,"v. 满足于
"
be shocked to do,无
be shouted at,无
be sick with, 患…病；得了…病；对……觉得恶心
be stuck on,"na. 爱上
"
be suited to, 适合于；适宜；合适
